wavelength,B1,B2,B3,B4
520,0.941,0.0,0.0,0.0
521,0.947,0.0,0.0,0.0
522,0.952,0.0,0.0,0.0
523,0.958,0.0,0.0,0.0
524,0.963,0.0,0.0,0.0
525,0.967,0.0,0.0,0.0
526,0.972,0.0,0.0,0.0
527,0.978,0.0,0.0,0.0
528,0.983,0.0,0.0,0.0
529,0.986,0.0,0.0,0.0
530,0.988,0.0,0.0,0.0
531,0.989,0.0,0.0,0.0
532,0.988,0.0,0.0,0.0
533,0.988,0.0,0.0,0.0
534,0.986,0.0,0.0,0.0
535,0.984,0.0,0.0,0.0
536,0.983,0.0,0.0,0.0
537,0.982,0.0,0.0,0.0
538,0.981,0.0,0.0,0.0
539,0.979,0.0,0.0,0.0
540,0.977,0.0,0.0,0.0
541,0.977,0.0,0.0,0.0
542,0.977,0.0,0.0,0.0
543,0.979,0.0,0.0,0.0
544,0.98,0.0,0.0,0.0
545,0.982,0.0,0.0,0.0
546,0.983,0.0,0.0,0.0
547,0.984,0.0,0.0,0.0
548,0.984,0.0,0.0,0.0
549,0.984,0.0,0.0,0.0
550,0.983,0.0,0.0,0.0
551,0.98,0.0,0.0,0.0
552,0.978,0.0,0.0,0.0
553,0.975,0.0,0.0,0.0
554,0.972,0.0,0.0,0.0
555,0.969,0.0,0.0,0.0
556,0.967,0.0,0.0,0.0
557,0.963,0.0,0.0,0.0
558,0.96,0.0,0.0,0.0
559,0.956,0.0,0.0,0.0
560,0.955,0.0,0.0,0.0
561,0.954,0.0,0.0,0.0
562,0.953,0.0,0.0,0.0
563,0.952,0.0,0.0,0.0
564,0.951,0.0,0.0,0.0
565,0.95,0.0,0.0,0.0
566,0.948,0.0,0.0,0.0
567,0.947,0.0,0.0,0.0
568,0.947,0.0,0.0,0.0
569,0.946,0.0,0.0,0.0
570,0.941,0.0,0.0,0.0
571,0.934,0.0,0.0,0.0
572,0.927,0.0,0.0,0.0
573,0.918,0.0,0.0,0.0
574,0.911,0.0,0.0,0.0
575,0.902,0.0,0.0,0.0
576,0.892,0.0,0.0,0.0
577,0.883,0.0,0.0,0.0
578,0.876,0.0,0.0,0.0
579,0.87,0.0,0.0,0.0
580,0.868,0.0,0.0,0.0
581,0.868,0.0,0.0,0.0
582,0.869,0.0,0.0,0.0
583,0.87,0.001,0.0,0.0
584,0.873,0.003,0.0,0.0
585,0.875,0.008,0.0,0.0
586,0.877,0.013,0.0,0.0
587,0.879,0.016,0.0,0.0
588,0.88,0.018,0.0,0.0
589,0.874,0.021,0.0,0.0
590,0.858,0.033,0.0,0.0
591,0.837,0.05,0.0,0.0
592,0.814,0.082,0.0,0.0
593,0.792,0.112,0.0,0.0
594,0.768,0.148,0.0,0.0
595,0.744,0.19,0.0,0.0
596,0.725,0.226,0.0,0.0
597,0.704,0.255,0.0,0.0
598,0.675,0.291,0.0,0.0
599,0.651,0.329,0.0,0.0
600,0.624,0.371,0.0,0.0
601,0.599,0.409,0.0,0.0
602,0.565,0.443,0.0,0.0
603,0.538,0.487,0.0,0.0
604,0.513,0.527,0.0,0.0
605,0.482,0.568,0.0,0.0
606,0.45,0.61,0.0,0.0
607,0.418,0.651,0.0,0.0
608,0.392,0.691,0.0,0.0
609,0.365,0.733,0.0,0.0
610,0.338,0.77,0.0,0.0
611,0.305,0.8,0.0,0.0
612,0.282,0.82,0.0,0.0
613,0.257,0.834,0.0,0.0
614,0.226,0.854,0.0,0.0
615,0.202,0.87,0.0,0.0
616,0.183,0.883,0.0,0.0
617,0.153,0.898,0.0,0.0
618,0.125,0.911,0.0,0.0
619,0.103,0.927,0.0,0.0
620,0.089,0.944,0.0,0.0
621,0.08,0.952,0.0,0.0
622,0.073,0.959,0.0,0.0
623,0.068,0.962,0.0,0.0
624,0.064,0.966,0.0,0.0
625,0.06,0.97,0.0,0.0
626,0.054,0.974,0.0,0.0
627,0.05,0.976,0.0,0.0
628,0.045,0.982,0.0,0.0
629,0.042,0.985,0.0,0.0
630,0.039,0.988,0.0,0.0
631,0.038,0.989,0.0,0.0
632,0.035,0.99,0.0,0.0
633,0.033,0.991,0.0,0.0
634,0.031,0.992,0.0,0.0
635,0.029,0.992,0.0,0.0
636,0.025,0.992,0.0,0.0
637,0.024,0.993,0.0,0.0
638,0.023,0.993,0.0,0.0
639,0.022,0.992,0.0,0.0
640,0.021,0.992,0.0,0.0
641,0.02,0.991,0.0,0.0
642,0.019,0.987,0.0,0.0
643,0.017,0.983,0.0,0.0
644,0.012,0.98,0.0,0.0
645,0.006,0.977,0.0,0.0
646,0.002,0.972,0.0,0.0
647,0.0,0.968,0.0,0.0
648,0.0,0.963,0.0,0.0
649,0.0,0.96,0.0,0.0
650,0.0,0.956,0.0,0.0
651,0.0,0.953,0.0,0.0
652,0.0,0.949,0.0,0.0
653,0.0,0.944,0.0,0.0
654,0.0,0.94,0.0,0.0
655,0.0,0.937,0.0,0.0
656,0.0,0.934,0.0,0.0
657,0.0,0.931,0.0,0.0
658,0.0,0.926,0.0,0.0
659,0.0,0.92,0.0,0.0
660,0.0,0.919,0.0,0.0
661,0.0,0.917,0.0,0.0
662,0.0,0.917,0.0,0.0
663,0.0,0.915,0.0,0.0
664,0.0,0.913,0.0,0.0
665,0.0,0.91,0.0,0.0
666,0.0,0.907,0.0,0.0
667,0.0,0.906,0.0,0.0
668,0.0,0.905,0.0,0.0
669,0.0,0.903,0.0,0.0
670,0.0,0.902,0.0,0.0
671,0.0,0.897,0.0,0.0
672,0.0,0.891,0.0,0.0
673,0.0,0.887,0.0,0.0
674,0.0,0.883,0.0,0.0
675,0.0,0.878,0.0,0.0
676,0.0,0.872,0.0,0.0
677,0.0,0.868,0.0,0.0
678,0.0,0.862,0.001,0.0
679,0.0,0.856,0.002,0.0
680,0.0,0.852,0.005,0.0
681,0.0,0.846,0.013,0.0
682,0.0,0.84,0.024,0.0
683,0.0,0.834,0.031,0.0
684,0.0,0.83,0.039,0.0
685,0.0,0.823,0.046,0.0
686,0.0,0.817,0.053,0.0
687,0.0,0.811,0.062,0.0
688,0.0,0.805,0.069,0.0
689,0.0,0.795,0.078,0.0
690,0.0,0.779,0.097,0.0
691,0.0,0.748,0.124,0.0
692,0.0,0.708,0.165,0.0
693,0.0,0.67,0.202,0.0
694,0.0,0.631,0.244,0.0
695,0.0,0.585,0.281,0.0
696,0.0,0.542,0.317,0.0
697,0.0,0.502,0.35,0.0
698,0.0,0.465,0.398,0.0
699,0.0,0.418,0.43,0.0
700,0.0,0.384,0.473,0.0
701,0.0,0.349,0.518,0.0
702,0.0,0.33,0.558,0.0
703,0.0,0.299,0.606,0.0
704,0.0,0.277,0.649,0.0
705,0.0,0.254,0.706,0.0
706,0.0,0.232,0.742,0.0
707,0.0,0.205,0.788,0.0
708,0.0,0.176,0.834,0.0
709,0.0,0.157,0.87,0.0
710,0.0,0.141,0.898,0.0
711,0.0,0.124,0.917,0.0
712,0.0,0.117,0.926,0.0
713,0.0,0.101,0.936,0.0
714,0.0,0.095,0.945,0.0
715,0.0,0.087,0.955,0.0
716,0.0,0.075,0.961,0.0
717,0.0,0.063,0.968,0.0
718,0.0,0.057,0.978,0.0
719,0.0,0.043,0.985,0.0
720,0.0,0.038,0.989,0.0
721,0.0,0.032,0.988,0.0
722,0.0,0.029,0.982,0.0
723,0.0,0.027,0.977,0.0
724,0.0,0.025,0.971,0.0
725,0.0,0.024,0.963,0.0
726,0.0,0.022,0.955,0.0
727,0.0,0.019,0.95,0.0
728,0.0,0.014,0.943,0.0
729,0.0,0.01,0.936,0.0
730,0.0,0.011,0.93,0.0
731,0.0,0.01,0.923,0.0
732,0.0,0.009,0.918,0.0
733,0.0,0.009,0.915,0.0
734,0.0,0.009,0.912,0.0
735,0.0,0.008,0.907,0.0
736,0.0,0.007,0.902,0.0
737,0.0,0.005,0.898,0.0
738,0.0,0.004,0.892,0.0
739,0.0,0.003,0.887,0.0
740,0.0,0.004,0.887,0.0
741,0.0,0.002,0.887,0.0
742,0.0,0.0,0.887,0.0
743,0.0,0.0,0.886,0.0
744,0.0,0.0,0.886,0.0
745,0.0,0.0,0.886,0.0
746,0.0,0.0,0.886,0.0
747,0.0,0.0,0.886,0.0
748,0.0,0.0,0.885,0.0
749,0.0,0.0,0.884,0.0
750,0.0,0.0,0.882,0.0
751,0.0,0.0,0.88,0.0
752,0.0,0.0,0.877,0.0
753,0.0,0.0,0.875,0.0
754,0.0,0.0,0.872,0.0
755,0.0,0.0,0.869,0.0
756,0.0,0.0,0.866,0.0
757,0.0,0.0,0.863,0.0
758,0.0,0.0,0.86,0.0
759,0.0,0.0,0.857,0.0
760,0.0,0.0,0.854,0.0
761,0.0,0.0,0.85,0.0
762,0.0,0.0,0.845,0.0
763,0.0,0.0,0.841,0.0
764,0.0,0.0,0.839,0.0
765,0.0,0.0,0.835,0.0
766,0.0,0.0,0.83,0.0
767,0.0,0.0,0.825,0.0
768,0.0,0.0,0.821,0.007
769,0.0,0.0,0.817,0.0035
770,0.0,0.0,0.814,0.0033333333333333335
771,0.0,0.0,0.811,0.005999999999999999
772,0.0,0.0,0.81,0.008666666666666666
773,0.0,0.0,0.807,0.010666666666666666
774,0.0,0.0,0.805,0.011666666666666667
775,0.0,0.0,0.803,0.009000000000000001
776,0.0,0.0,0.801,0.01075
777,0.0,0.0,0.798,0.0094
778,0.0,0.0,0.795,0.011199999999999998
779,0.0,0.0,0.791,0.013000000000000001
780,0.0,0.0,0.787,0.012333333333333335
781,0.0,0.0,0.782,0.014499999999999999
782,0.0,0.0,0.777,0.017666666666666664
783,0.0,0.0,0.772,0.021166666666666667
784,0.0,0.0,0.769,0.026166666666666668
785,0.0,0.0,0.764,0.030833333333333338
786,0.0,0.0,0.759,0.034999999999999996
787,0.0,0.0,0.755,0.04066666666666666
788,0.0,0.0,0.749,0.044833333333333336
789,0.0,0.0,0.743,0.049166666666666664
790,0.0,0.0,0.737,0.05733333333333334
791,0.0,0.0,0.731,0.06816666666666667
792,0.0,0.0,0.726,0.07966666666666668
793,0.0,0.0,0.72,0.09566666666666668
794,0.0,0.0,0.715,0.10866666666666668
795,0.0,0.0,0.708,0.12050000000000001
796,0.0,0.0,0.703,0.1371666666666667
797,0.0,0.0,0.699,0.15833333333333335
798,0.0,0.0,0.695,0.17633333333333334
799,0.0,0.0,0.69,0.20183333333333334
800,0.0,0.0,0.685,0.22650000000000003
801,0.0,0.0,0.68,0.26466666666666666
802,0.0,0.0,0.675,0.3096666666666667
803,0.0,0.0,0.672,0.37366666666666665
804,0.0,0.0,0.669,0.4128333333333334
805,0.0,0.0,0.665,0.4415
806,0.0,0.0,0.663,0.4991666666666667
807,0.0,0.0,0.66,0.5381666666666667
808,0.0,0.0,0.656,0.6066666666666667
809,0.0,0.0,0.644,0.6383333333333333
810,0.0,0.0,0.62,0.6791666666666667
811,0.0,0.0,0.573,0.715
812,0.0,0.0,0.521,0.7435
813,0.0,0.0,0.468,0.7675000000000001
814,0.0,0.0,0.425,0.7956666666666666
815,0.0,0.0,0.379,0.8321666666666666
816,0.0,0.0,0.321,0.8631666666666665
817,0.0,0.0,0.274,0.8925000000000001
818,0.0,0.0,0.211,0.9213333333333332
819,0.0,0.0,0.18,0.9460000000000001
820,0.0,0.0,0.152,0.9626666666666664
821,0.0,0.0,0.125,0.9745
822,0.0,0.0,0.111,0.9778333333333333
823,0.0,0.0,0.1,0.98
824,0.0,0.0,0.089,0.9808333333333333
825,0.0,0.0,0.077,0.9811666666666666
826,0.0,0.0,0.064,0.9816666666666666
827,0.0,0.0,0.054,0.9815
828,0.0,0.0,0.043,0.981
829,0.0,0.0,0.034,0.9811666666666667
830,0.0,0.0,0.026,0.981
831,0.0,0.0,0.021,0.981
832,0.0,0.0,0.02,0.981
833,0.0,0.0,0.017,0.9806666666666667
834,0.0,0.0,0.016,0.9805
835,0.0,0.0,0.014,0.9805
836,0.0,0.0,0.015,0.9796666666666666
837,0.0,0.0,0.013,0.9794999999999999
838,0.0,0.0,0.01,0.9790000000000001
839,0.0,0.0,0.008,0.9783333333333334
840,0.0,0.0,0.009,0.9781666666666667
841,0.0,0.0,0.008,0.9776666666666666
842,0.0,0.0,0.002,0.9773333333333333
843,0.0,0.0,0.001,0.977
844,0.0,0.0,0.0,0.9761666666666665
845,0.0,0.0,0.0,0.9756666666666667
846,0.0,0.0,0.0,0.9751666666666666
847,0.0,0.0,0.0,0.9748333333333333
848,0.0,0.0,0.0,0.9738333333333333
849,0.0,0.0,0.0,0.9734999999999999
850,0.0,0.0,0.0,0.9729999999999999
851,0.0,0.0,0.0,0.9716666666666666
852,0.0,0.0,0.0,0.9703333333333334
853,0.0,0.0,0.0,0.9693333333333333
854,0.0,0.0,0.0,0.9683333333333333
855,0.0,0.0,0.0,0.9673333333333333
856,0.0,0.0,0.0,0.9666666666666668
857,0.0,0.0,0.0,0.9661666666666666
858,0.0,0.0,0.0,0.9659999999999999
859,0.0,0.0,0.0,0.9656666666666666
860,0.0,0.0,0.0,0.9649999999999999
861,0.0,0.0,0.0,0.9641666666666667
862,0.0,0.0,0.0,0.9634999999999999
863,0.0,0.0,0.0,0.9621666666666666
864,0.0,0.0,0.0,0.9618333333333333
865,0.0,0.0,0.0,0.961
866,0.0,0.0,0.0,0.9596666666666666
867,0.0,0.0,0.0,0.9578333333333333
868,0.0,0.0,0.0,0.9566666666666667
869,0.0,0.0,0.0,0.9551666666666666
870,0.0,0.0,0.0,0.9538333333333332
871,0.0,0.0,0.0,0.9521666666666665
872,0.0,0.0,0.0,0.9499999999999998
873,0.0,0.0,0.0,0.9483333333333333
874,0.0,0.0,0.0,0.9473333333333332
875,0.0,0.0,0.0,0.9463333333333335
876,0.0,0.0,0.0,0.945
877,0.0,0.0,0.0,0.9438333333333334
878,0.0,0.0,0.0,0.9426666666666668
879,0.0,0.0,0.0,0.941
880,0.0,0.0,0.0,0.9380000000000001
881,0.0,0.0,0.0,0.9368333333333334
882,0.0,0.0,0.0,0.936
883,0.0,0.0,0.0,0.9353333333333333
884,0.0,0.0,0.0,0.935
885,0.0,0.0,0.0,0.9351666666666666
886,0.0,0.0,0.0,0.9348333333333333
887,0.0,0.0,0.0,0.9351666666666668
888,0.0,0.0,0.0,0.9351666666666666
889,0.0,0.0,0.0,0.9348333333333333
890,0.0,0.0,0.0,0.9348333333333333
891,0.0,0.0,0.0,0.9353333333333333
892,0.0,0.0,0.0,0.9356666666666668
893,0.0,0.0,0.0,0.9358333333333334
894,0.0,0.0,0.0,0.9363333333333334
895,0.0,0.0,0.0,0.9363333333333334
896,0.0,0.0,0.0,0.9358333333333334
897,0.0,0.0,0.0,0.9359999999999999
898,0.0,0.0,0.0,0.9359999999999999
899,0.0,0.0,0.0,0.9356666666666666
900,0.0,0.0,0.0,0.9354999999999999
901,0.0,0.0,0.0,0.9355000000000001
902,0.0,0.0,0.0,0.9365
903,0.0,0.0,0.0,0.9373333333333335
904,0.0,0.0,0.0,0.9373333333333332
905,0.0,0.0,0.0,0.9375
906,0.0,0.0,0.0,0.9376666666666668
907,0.0,0.0,0.0,0.9378333333333333
908,0.0,0.0,0.0,0.9381666666666667
909,0.0,0.0,0.0,0.9386666666666666
910,0.0,0.0,0.0,0.9393333333333334
911,0.0,0.0,0.0,0.9398333333333332
912,0.0,0.0,0.0,0.9403333333333334
913,0.0,0.0,0.0,0.941
914,0.0,0.0,0.0,0.9413333333333332
915,0.0,0.0,0.0,0.9411666666666667
916,0.0,0.0,0.0,0.9413333333333332
917,0.0,0.0,0.0,0.9408333333333333
918,0.0,0.0,0.0,0.9408333333333334
919,0.0,0.0,0.0,0.9405000000000001
920,0.0,0.0,0.0,0.94
921,0.0,0.0,0.0,0.9383333333333335
922,0.0,0.0,0.0,0.9359999999999998
923,0.0,0.0,0.0,0.9335000000000001
924,0.0,0.0,0.0,0.9303333333333333
925,0.0,0.0,0.0,0.9263333333333333
926,0.0,0.0,0.0,0.9235000000000001
927,0.0,0.0,0.0,0.9208333333333333
928,0.0,0.0,0.0,0.9168333333333334
929,0.0,0.0,0.0,0.9131666666666667
930,0.0,0.0,0.0,0.9085
931,0.0,0.0,0.0,0.9046666666666666
932,0.0,0.0,0.0,0.9018333333333333
933,0.0,0.0,0.0,0.8991666666666666
934,0.0,0.0,0.0,0.896
935,0.0,0.0,0.0,0.8921666666666667
936,0.0,0.0,0.0,0.888
937,0.0,0.0,0.0,0.8850000000000001
938,0.0,0.0,0.0,0.8813333333333332
939,0.0,0.0,0.0,0.8778333333333332
940,0.0,0.0,0.0,0.8741666666666666
941,0.0,0.0,0.0,0.8708333333333332
942,0.0,0.0,0.0,0.8676666666666666
943,0.0,0.0,0.0,0.8636666666666667
944,0.0,0.0,0.0,0.86
945,0.0,0.0,0.0,0.8553333333333334
946,0.0,0.0,0.0,0.8518333333333334
947,0.0,0.0,0.0,0.8496666666666667
948,0.0,0.0,0.0,0.8468333333333332
949,0.0,0.0,0.0,0.843
950,0.0,0.0,0.0,0.8366666666666666
951,0.0,0.0,0.0,0.8335
952,0.0,0.0,0.0,0.8308333333333332
953,0.0,0.0,0.0,0.8265000000000001
954,0.0,0.0,0.0,0.8221666666666666
955,0.0,0.0,0.0,0.8184999999999999
956,0.0,0.0,0.0,0.8156666666666667
957,0.0,0.0,0.0,0.8113333333333334
958,0.0,0.0,0.0,0.8083333333333332
959,0.0,0.0,0.0,0.8046666666666665
960,0.0,0.0,0.0,0.8011666666666667
961,0.0,0.0,0.0,0.7968333333333334
962,0.0,0.0,0.0,0.793
963,0.0,0.0,0.0,0.7895
964,0.0,0.0,0.0,0.7871666666666667
965,0.0,0.0,0.0,0.7823333333333333
966,0.0,0.0,0.0,0.7776666666666667
967,0.0,0.0,0.0,0.7731666666666667
968,0.0,0.0,0.0,0.7693333333333333
969,0.0,0.0,0.0,0.7656666666666666
970,0.0,0.0,0.0,0.7631666666666668
971,0.0,0.0,0.0,0.7605
972,0.0,0.0,0.0,0.7551666666666667
973,0.0,0.0,0.0,0.7518333333333334
974,0.0,0.0,0.0,0.7464999999999998
975,0.0,0.0,0.0,0.7425
976,0.0,0.0,0.0,0.738
977,0.0,0.0,0.0,0.7351666666666667
978,0.0,0.0,0.0,0.7308333333333333
979,0.0,0.0,0.0,0.7258333333333334
980,0.0,0.0,0.0,0.7201666666666666
981,0.0,0.0,0.0,0.7133333333333333
982,0.0,0.0,0.0,0.7083333333333334
983,0.0,0.0,0.0,0.7021666666666665
984,0.0,0.0,0.0,0.6971666666666666
985,0.0,0.0,0.0,0.6903333333333334
986,0.0,0.0,0.0,0.6851666666666668
987,0.0,0.0,0.0,0.6791666666666666
988,0.0,0.0,0.0,0.6736666666666666
989,0.0,0.0,0.0,0.6694999999999999
990,0.0,0.0,0.0,0.6635
991,0.0,0.0,0.0,0.6569999999999999
992,0.0,0.0,0.0,0.6518333333333334
993,0.0,0.0,0.0,0.6456666666666666
994,0.0,0.0,0.0,0.6406666666666667
995,0.0,0.0,0.0,0.636
996,0.0,0.0,0.0,0.6286666666666667
997,0.0,0.0,0.0,0.6224999999999999
998,0.0,0.0,0.0,0.6173333333333334
999,0.0,0.0,0.0,0.612
1000,0.0,0.0,0.0,0.6043333333333334
1001,0.0,0.0,0.0,0.599
1002,0.0,0.0,0.0,0.5941666666666667
1003,0.0,0.0,0.0,0.5903333333333333
1004,0.0,0.0,0.0,0.5853333333333334
1005,0.0,0.0,0.0,0.58
1006,0.0,0.0,0.0,0.5733333333333334
1007,0.0,0.0,0.0,0.568
1008,0.0,0.0,0.0,0.5633333333333334
1009,0.0,0.0,0.0,0.5561666666666667
1010,0.0,0.0,0.0,0.5495
1011,0.0,0.0,0.0,0.544
1012,0.0,0.0,0.0,0.5390000000000001
1013,0.0,0.0,0.0,0.5345
1014,0.0,0.0,0.0,0.5288333333333334
1015,0.0,0.0,0.0,0.5231666666666667
1016,0.0,0.0,0.0,0.5173333333333333
1017,0.0,0.0,0.0,0.511
1018,0.0,0.0,0.0,0.5071666666666667
1019,0.0,0.0,0.0,0.5031666666666667
1020,0.0,0.0,0.0,0.49933333333333335
1021,0.0,0.0,0.0,0.4956666666666667
1022,0.0,0.0,0.0,0.4911666666666667
1023,0.0,0.0,0.0,0.4878333333333333
1024,0.0,0.0,0.0,0.4838333333333333
1025,0.0,0.0,0.0,0.4805
1026,0.0,0.0,0.0,0.47666666666666674
1027,0.0,0.0,0.0,0.47350000000000003
1028,0.0,0.0,0.0,0.4695
1029,0.0,0.0,0.0,0.46633333333333327
1030,0.0,0.0,0.0,0.46216666666666667
1031,0.0,0.0,0.0,0.4578333333333333
1032,0.0,0.0,0.0,0.4529999999999999
1033,0.0,0.0,0.0,0.44933333333333336
1034,0.0,0.0,0.0,0.4463333333333333
1035,0.0,0.0,0.0,0.4435
1036,0.0,0.0,0.0,0.4411666666666667
1037,0.0,0.0,0.0,0.43683333333333335
1038,0.0,0.0,0.0,0.43183333333333335
1039,0.0,0.0,0.0,0.42466666666666675
1040,0.0,0.0,0.0,0.42183333333333334
1041,0.0,0.0,0.0,0.417
1042,0.0,0.0,0.0,0.4136666666666666
1043,0.0,0.0,0.0,0.4083333333333334
1044,0.0,0.0,0.0,0.4026666666666667
1045,0.0,0.0,0.0,0.39749999999999996
1046,0.0,0.0,0.0,0.39316666666666666
1047,0.0,0.0,0.0,0.3885
1048,0.0,0.0,0.0,0.38199999999999995
1049,0.0,0.0,0.0,0.37799999999999995
1050,0.0,0.0,0.0,0.37433333333333335
1051,0.0,0.0,0.0,0.36916666666666664
1052,0.0,0.0,0.0,0.3621666666666667
1053,0.0,0.0,0.0,0.3581666666666667
1054,0.0,0.0,0.0,0.3523333333333334
1055,0.0,0.0,0.0,0.3471666666666667
1056,0.0,0.0,0.0,0.3423333333333333
1057,0.0,0.0,0.0,0.3383333333333333
1058,0.0,0.0,0.0,0.3328333333333333
1059,0.0,0.0,0.0,0.32999999999999996
1060,0.0,0.0,0.0,0.3275
1061,0.0,0.0,0.0,0.32266666666666666
1062,0.0,0.0,0.0,0.3198333333333333
1063,0.0,0.0,0.0,0.31516666666666665
1064,0.0,0.0,0.0,0.3123333333333333
1065,0.0,0.0,0.0,0.309
1066,0.0,0.0,0.0,0.30566666666666664
1067,0.0,0.0,0.0,0.3026666666666667
1068,0.0,0.0,0.0,0.2996666666666667
1069,0.0,0.0,0.0,0.29733333333333334
1070,0.0,0.0,0.0,0.295
1071,0.0,0.0,0.0,0.292
1072,0.0,0.0,0.0,0.289
1073,0.0,0.0,0.0,0.2866666666666667
1074,0.0,0.0,0.0,0.2841666666666667
1075,0.0,0.0,0.0,0.281
1076,0.0,0.0,0.0,0.2773333333333334
1077,0.0,0.0,0.0,0.2745
1078,0.0,0.0,0.0,0.2711666666666667
1079,0.0,0.0,0.0,0.2688333333333333
1080,0.0,0.0,0.0,0.26366666666666666
1081,0.0,0.0,0.0,0.25966666666666666
1082,0.0,0.0,0.0,0.2551666666666667
1083,0.0,0.0,0.0,0.24850000000000003
1084,0.0,0.0,0.0,0.245
1085,0.0,0.0,0.0,0.24166666666666667
1086,0.0,0.0,0.0,0.23783333333333334
1087,0.0,0.0,0.0,0.2343333333333333
1088,0.0,0.0,0.0,0.2305
1089,0.0,0.0,0.0,0.22716666666666666
1090,0.0,0.0,0.0,0.22250000000000003
1091,0.0,0.0,0.0,0.2176666666666667
1092,0.0,0.0,0.0,0.21350000000000002
1093,0.0,0.0,0.0,0.2081666666666667
1094,0.0,0.0,0.0,0.15683333333333335
1095,0.0,0.0,0.0,0.12349999999999998
1096,0.0,0.0,0.0,0.09349999999999999
1097,0.0,0.0,0.0,0.06266666666666666
1098,0.0,0.0,0.0,0.06720000000000001
1099,0.0,0.0,0.0,0.0495
1100,0.0,0.0,0.0,0.0
1101,0.0,0.0,0.0,0.0
